dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,diag_std,linear,4,medium(150-500),0.5465382618334531,6372
aef,diag_std,linear,4,large(>500),0.5306941617863211,1835
aef,diag_std,knn,4,overall,0.4805883518795427,17478
aef,diag_std,knn,4,tiny(<50),0.2874174222045507,2498
aef,diag_std,knn,4,small(50-150),0.4132200717868194,6773
aef,diag_std,knn,4,medium(150-500),0.5323268339493906,6372
aef,diag_std,knn,4,large(>500),0.5631923916598207,1835
aef,diag_std,linear,5,overall,0.4895126566465784,16640
aef,diag_std,linear,5,tiny(<50),0.3114559643794323,2437
aef,diag_std,linear,5,small(50-150),0.4114162079431522,6214
aef,diag_std,linear,5,medium(150-500),0.5389505075524156,5956
aef,diag_std,linear,5,large(>500),0.543304112074635,2033
aef,diag_std,knn,5,overall,0.4788158391671488,16640
aef,diag_std,knn,5,tiny(<50),0.3174543683421955,2437
aef,diag_std,knn,5,small(50-150),0.4069018993917253,6214
aef,diag_std,knn,5,medium(150-500),0.5171525321733911,5956
aef,diag_std,knn,5,large(>500),0.5773750371139423,2033
aef,shrink_a0.01,linear,1,overall,0.5945750875218042,17229
aef,shrink_a0.01,linear,1,tiny(<50),0.3218360267473884,2468
aef,shrink_a0.01,linear,1,small(50-150),0.5068320402912875,6598
aef,shrink_a0.01,linear,1,medium(150-500),0.6579657258316093,6256
aef,shrink_a0.01,linear,1,large(>500),0.71869166795308,1907
aef,shrink_a0.01,knn,1,overall,0.4716360750438935,17229
aef,shrink_a0.01,knn,1,tiny(<50),0.3048062122024578,2468
aef,shrink_a0.01,knn,1,small(50-150),0.393617762297957,6598
aef,shrink_a0.01,knn,1,medium(150-500),0.507850974207981,6256
aef,shrink_a0.01,knn,1,large(>500),0.5815385257582563,1907
aef,shrink_a0.01,linear,2,overall,0.5877744111287937,17559
aef,shrink_a0.01,linear,2,tiny(<50),0.3458907609418134,2846
aef,shrink_a0.01,linear,2,small(50-150),0.5074459407650446,6651
aef,shrink_a0.01,linear,2,medium(150-500),0.6530957891797151,6126
aef,shrink_a0.01,linear,2,large(>500),0.696084839721968,1936
aef,shrink_a0.01,knn,2,overall,0.4617112584768919,17559
aef,shrink_a0.01,knn,2,tiny(<50),0.2949120070750617,2846
aef,shrink_a0.01,knn,2,small(50-150),0.3901246505683494,6651
aef,shrink_a0.01,knn,2,medium(150-500),0.5064755491469586,6126
aef,shrink_a0.01,knn,2,large(>500),0.5680670336423321,1936
aef,shrink_a0.01,linear,3,overall,0.5831251905744065,17045
aef,shrink_a0.01,linear,3,tiny(<50),0.4371221965278701,2620
aef,shrink_a0.01,linear,3,small(50-150),0.5144365153964342,6288
aef,shrink_a0.01,linear,3,medium(150-500),0.6340402121732865,6205
aef,shrink_a0.01,linear,3,large(>500),0.707217131537509,1932
aef,shrink_a0.01,knn,3,overall,0.4698765468057937,17045
aef,shrink_a0.01,knn,3,tiny(<50),0.3194306342593497,2620
aef,shrink_a0.01,knn,3,small(50-150),0.3943266636979841,6288
aef,shrink_a0.01,knn,3,medium(150-500),0.5098309512964867,6205
aef,shrink_a0.01,knn,3,large(>500),0.556784511249345,1932
aef,shrink_a0.01,linear,4,overall,0.6104206863853777,17478
aef,shrink_a0.01,linear,4,tiny(<50),0.3767135133407994,2498
aef,shrink_a0.01,linear,4,small(50-150),0.5226767209056044,6773
aef,shrink_a0.01,linear,4,medium(150-500),0.6799546344129438,6372
aef,shrink_a0.01,linear,4,large(>500),0.7465060973994998,1835
aef,shrink_a0.01,knn,4,overall,0.4829180126998069,17478
aef,shrink_a0.01,knn,4,tiny(<50),0.2841471222871952,2498
aef,shrink_a0.01,knn,4,small(50-150),0.4052171403932489,6773
aef,shrink_a0.01,knn,4,medium(150-500),0.5401420749922644,6372
aef,shrink_a0.01,knn,4,large(>500),0.5750276622651842,1835
