dataset,method,bin,f1,n,best_c
olmoearth,flattened_cov,"tiny
(<50)",0.1751660305476891,2437,0.01
olmoearth,flattened_cov,"small
(50-150)",0.32643969127000605,6214,0.01
olmoearth,flattened_cov,"medium
(150-500)",0.5060616566195575,5956,0.01
olmoearth,flattened_cov,"large
(>500)",0.5976275189374983,2033,0.01
olmoearth,gem,overall,0.4971328386830796,16640,100.0
olmoearth,gem,"tiny
(<50)",0.3018382695685736,2437,100.0
olmoearth,gem,"small
(50-150)",0.4059972366505509,6214,100.0
olmoearth,gem,"medium
(150-500)",0.5514384536502888,5956,100.0
olmoearth,gem,"large
(>500)",0.5919762727368835,2033,100.0
olmoearth,max,overall,0.3872281638748858,16640,1.0
olmoearth,max,"tiny
(<50)",0.2667083751829495,2437,1.0
olmoearth,max,"small
(50-150)",0.32391883433480373,6214,1.0
olmoearth,max,"medium
(150-500)",0.41305207248372333,5956,1.0
olmoearth,max,"large
(>500)",0.4695960924789804,2033,1.0
olmoearth,mean,overall,0.5471588754542747,16640,1.0
olmoearth,mean,"tiny
(<50)",0.31741668230062864,2437,1.0
olmoearth,mean,"small
(50-150)",0.45469479897504184,6214,1.0
olmoearth,mean,"medium
(150-500)",0.6070903744253199,5956,1.0
olmoearth,mean,"large
(>500)",0.6596331538830946,2033,1.0
olmoearth,mean_max,overall,0.5422007195254119,16640,10.0
olmoearth,mean_max,"tiny
(<50)",0.3287607650065005,2437,10.0
olmoearth,mean_max,"small
(50-150)",0.4480973619335107,6214,10.0
olmoearth,mean_max,"medium
(150-500)",0.5968298970130034,5956,10.0
olmoearth,mean_max,"large
(>500)",0.6691835034046233,2033,10.0
olmoearth,mean_std,overall,0.549647719619997,16640,100.0
olmoearth,mean_std,"tiny
(<50)",0.31239960134212263,2437,100.0
olmoearth,mean_std,"small
(50-150)",0.4588296315958947,6214,100.0
olmoearth,mean_std,"medium
(150-500)",0.6125758888703454,5956,100.0
olmoearth,mean_std,"large
(>500)",0.6682646693388308,2033,100.0
olmoearth,median_iqr,overall,0.5084467263630159,16640,0.1
olmoearth,median_iqr,"tiny
(<50)",0.30703018373691243,2437,0.1
olmoearth,median_iqr,"small
(50-150)",0.4229193070475843,6214,0.1
olmoearth,median_iqr,"medium
(150-500)",0.5583935010210437,5956,0.1
olmoearth,median_iqr,"large
(>500)",0.6154119613269761,2033,0.1
olmoearth,nd_switch,overall,0.5177362086154831,16640,1.0
olmoearth,nd_switch,"tiny
(<50)",0.31625557794837517,2437,1.0
olmoearth,nd_switch,"small
(50-150)",0.4303637706180224,6214,1.0
olmoearth,nd_switch,"medium
(150-500)",0.564837912255605,5956,1.0
olmoearth,nd_switch,"large
(>500)",0.6143168301913554,2033,1.0
olmoearth,pca_64,overall,0.47920437161229934,16640,100.0
olmoearth,pca_64,"tiny
(<50)",0.2827365100319552,2437,100.0
olmoearth,pca_64,"small
(50-150)",0.4192976617577092,6214,100.0
olmoearth,pca_64,"medium
(150-500)",0.5232739360454163,5956,100.0
olmoearth,pca_64,"large
(>500)",0.5487117422316168,2033,100.0
olmoearth,percentiles,overall,0.5337817122900702,16640,0.1
olmoearth,percentiles,"tiny
(<50)",0.3139937151665983,2437,0.1
olmoearth,percentiles,"small
(50-150)",0.45675810552542895,6214,0.1
olmoearth,percentiles,"medium
(150-500)",0.5892736226634776,5956,0.1
olmoearth,percentiles,"large
(>500)",0.645906346641913,2033,0.1
olmoearth,sign_adaptive_nc_gem,overall,0.4788085905265346,16640,0.1
olmoearth,sign_adaptive_nc_gem,"tiny
(<50)",0.26608016535341694,2437,0.1
olmoearth,sign_adaptive_nc_gem,"small
(50-150)",0.35709645248140154,6214,0.1
olmoearth,sign_adaptive_nc_gem,"medium
(150-500)",0.5487022980027647,5956,0.1
olmoearth,sign_adaptive_nc_gem,"large
(>500)",0.6041740972478549,2033,0.1
olmoearth,signed_non_cancelling_gem,overall,0.5232724003558532,16640,1.0
olmoearth,signed_non_cancelling_gem,"tiny
(<50)",0.30261522475235947,2437,1.0
olmoearth,signed_non_cancelling_gem,"small
(50-150)",0.4237010831846941,6214,1.0
olmoearth,signed_non_cancelling_gem,"medium
(150-500)",0.5827034508155313,5956,1.0
olmoearth,signed_non_cancelling_gem,"large
(>500)",0.6568133086025504,2033,1.0
olmoearth,signed_sqrt_mean,overall,0.5142730362080811,16640,100.0
